
[검색조건]
지점명 : 서울, 기간 : 20250601 ~ 20250901
일자,기온(°C),습도(%rh),체감온도(°C)
2025-06-01,28.9,44.2,27.9
2025-06-02,23.1,57.5,23.4
2025-06-03,25.3,44.5,24.5
2025-06-04,25.1,40.1,23.9
2025-06-05,27,35,25.2
2025-06-06,29.9,33.9,27.7
2025-06-07,28.2,54.6,28.2
2025-06-08,30.2,51.2,29.9
2025-06-09,30.2,48.6,29.6
2025-06-10,25.3,58.9,25.7
2025-06-11,28.3,41,27
2025-06-12,32.6,36.7,30.7
2025-06-13,29.4,44.4,28.4
2025-06-14,32,49.2,31.4
2025-06-15,33.2,44.5,32.1
2025-06-16,25.1,84.2,27.4
2025-06-17,29.6,53.7,29.5
2025-06-18,30.8,50.2,30.3
2025-06-19,33.9,41.9,32.5
2025-06-20,28.2,70.9,29.6
2025-06-21,24.1,78.9,26
2025-06-22,28.6,53.1,28.4
2025-06-23,31.5,51.1,31.1
2025-06-24,27.4,59.3,27.8
2025-06-25,22,92.5,24.8
2025-06-26,24.2,77.2,26
2025-06-27,29.3,66.3,30.3
2025-06-28,28.1,81.8,30.3
2025-06-29,30.1,70.1,31.4
2025-06-30,31.2,66.9,32.2
2025-07-01,31.7,70.3,33
2025-07-02,30.8,68.3,32
2025-07-03,32,59.2,32.4
2025-07-04,30,67.9,31.1
2025-07-05,32.3,60.8,32.8
2025-07-06,32.7,62,33.3
2025-07-07,33.1,68.2,34.3
2025-07-08,37.7,50,37.1
2025-07-09,35.6,50.5,35.1
2025-07-10,35.8,39.5,34.1
2025-07-11,35.9,37.5,33.9
2025-07-12,36.4,30.2,33.4
2025-07-13,31,57,31.2
2025-07-14,28.1,62.4,28.8
2025-07-15,25.9,77,27.7
2025-07-16,24.8,90.5,27.5
2025-07-17,24.4,88.3,27
2025-07-18,27,85.2,29.4
2025-07-19,25.6,95.1,28.7
2025-07-20,31.3,66,32.3
2025-07-21,31.4,68.9,32.6
2025-07-22,32.2,62.8,32.9
2025-07-23,33.2,59.1,33.6
2025-07-24,34,58,34.2
2025-07-25,36.2,53.1,36
2025-07-26,36.8,51.2,36.4
2025-07-27,37.9,43.8,36.6
2025-07-28,36.2,53.9,36.1
2025-07-29,36.6,51.6,36.2
2025-07-30,36.3,49.2,35.7
2025-07-31,34.4,54.6,34.4
2025-08-01,35.1,51.9,34.8
2025-08-02,36.1,48.2,35.4
2025-08-03,32.5,59.1,32.9
2025-08-04,33.9,54.8,33.9
2025-08-05,33.1,55.1,33.1
2025-08-06,29.2,81.5,31.4
2025-08-07,32.2,53.9,32.1
2025-08-08,30,64.7,30.9
2025-08-09,25.7,87,28.2
2025-08-10,32.8,55.7,32.9
2025-08-11,29.4,69.5,30.7
2025-08-12,33.3,49.3,32.7
2025-08-13,27.1,92.2,30
2025-08-14,26.5,90.8,29.3
2025-08-15,30.8,73.4,32.4
2025-08-16,32.2,60.1,32.7
2025-08-17,32,61.7,32.6
2025-08-18,32.3,64.1,33.1
2025-08-19,32.2,63.9,33
2025-08-20,32.4,63.9,33.2
2025-08-21,34.3,53,34.1
2025-08-22,33.1,57.2,33.3
2025-08-23,32.1,69.1,33.3
2025-08-24,34.1,57.2,34.3
2025-08-25,32.1,68.5,33.3
2025-08-26,31.8,62.2,32.5
2025-08-27,30.6,56.2,30.7
2025-08-28,30.9,66.5,31.9
2025-08-29,32.8,64.3,33.7
2025-08-30,31.8,66.2,32.8
2025-08-31,31.7,65.9,32.7
2025-09-01,28.2,81.8,30.4
