"동","인구 (명)","면적 (㎢)","인구밀도 (명/㎢)"
"종로구","148813","23.91","6223"
"중구","128444","9.96","12893"
"용산구","214984","21.87","9831"
"성동구","282714","16.82","16808"
"광진구","349117","17.06","20461"
"동대문구","366923","14.22","25811"
"중랑구","383764","18.50","20746"
"성북구","437496","24.59","17791"
"강북구","285900","23.61","12112"
"도봉구","303051","20.65","14675"
"노원구","489003","35.46","13791"
"은평구","459586","29.71","15469"
"서대문구","316832","17.63","17972"
"마포구","369364","23.85","15484"
"양천구","428537","17.41","24618"
"강서구","556370","41.45","13422"
"구로구","408238","20.12","20289"
"금천구","237562","13.02","18247"
"영등포구","395248","24.55","16097"
"동작구","384281","16.36","23494"
"관악구","497391","29.57","16822"
"서초구","419295","46.97","8928"
"강남구","562508","39.50","14242"
"송파구","649759","33.88","19181"
"강동구","503997","24.59","20496"
