시군구,읍면동,가구수,수급권자수
강남구,강남구,1,1
강남구,개포1동,60,74
강남구,개포2동,42,65
강남구,개포4동,112,182
강남구,논현1동,102,172
강남구,논현2동,105,187
강남구,대치1동,8,10
강남구,대치2동,46,68
강남구,대치4동,137,258
강남구,도곡1동,35,50
강남구,도곡2동,22,35
강남구,삼성1동,22,41
강남구,삼성2동,83,129
강남구,세곡동,537,993
강남구,수서동,380,485
강남구,신사동,40,67
강남구,압구정동,37,50
강남구,역삼1동,161,240
강남구,역삼2동,89,127
강남구,일원1동,301,491
강남구,일원2동,230,293
강남구,일원본동,54,91
강남구,청담동,51,100
강동구,강동구,1,1
강동구,강일동,702,1205
강동구,고덕1동,118,196
강동구,고덕2동,163,244
강동구,길동,457,756
강동구,둔촌1동,2,2
강동구,둔촌2동,197,294
강동구,명일1동,122,184
강동구,명일2동,67,108
강동구,상일동,3,4
강동구,상일제1동,138,204
강동구,상일제2동,221,379
강동구,성내1동,107,190
강동구,성내2동,286,404
강동구,성내3동,246,374
강동구,암사1동,572,927
강동구,암사2동,73,116
강동구,암사3동,59,85
강동구,천호1동,496,750
강동구,천호2동,508,819
강동구,천호3동,364,520
강북구,강북구,1,3
강북구,미아동,416,628
강북구,번1동,351,557
강북구,번2동,529,815
강북구,번3동,687,1035
강북구,번제1동,0,2
강북구,번제2동,4,3
강북구,번제3동,3,8
강북구,삼각산동,320,478
강북구,삼양동,493,847
강북구,송중동,498,809
강북구,송천동,451,727
강북구,수유1동,475,792
강북구,수유2동,483,767
강북구,수유3동,383,633
강북구,수유제1동,3,3
강북구,수유제2동,2,2
강북구,우이동,398,672
강북구,인수동,674,1128
강서구,가양1동,134,212
강서구,가양2동,491,643
강서구,가양3동,427,633
강서구,공항동,572,1048
강서구,등촌1동,96,143
강서구,등촌2동,153,266
강서구,등촌3동,729,1098
강서구,발산1동,477,882
강서구,방화1동,413,710
강서구,방화2동,334,527
강서구,방화3동,367,549
강서구,염창동,104,162
강서구,우장산동,215,351
강서구,화곡1동,532,847
강서구,화곡2동,321,604
강서구,화곡3동,167,285
