측정시간_시간단위,자치구_한글,행정동,방문자수
2026-04-04 08:00:00,강남구,압구정동,38
2026-04-04 08:00:00,강남구,대치4동,658
2026-04-04 08:00:00,강남구,신사동,0
2026-04-04 08:00:00,강남구,수서동,24
2026-04-04 08:00:00,강남구,역삼1동,91
2026-04-04 08:00:00,강동구,암사3동,17
2026-04-04 08:00:00,강동구,천호1동,125
2026-04-04 08:00:00,강동구,둔촌1동,194
2026-04-04 08:00:00,강동구,성내1동,71
2026-04-04 08:00:00,강북구,번3동,85
2026-04-04 08:00:00,강북구,수유3동,223
2026-04-04 08:00:00,강서구,방화1동,6
2026-04-04 08:00:00,강서구,방화3동,59
2026-04-04 08:00:00,강서구,가양1동,112
2026-04-04 08:00:00,강서구,공항동,17
2026-04-04 08:00:00,관악구,낙성대동,93
2026-04-04 08:00:00,광진구,구의1동,0
2026-04-04 08:00:00,광진구,광장동,7
2026-04-04 08:00:00,광진구,화양동,408
2026-04-04 08:00:00,도봉구,창1동,20
2026-04-04 08:00:00,동작구,상도1동,164
2026-04-04 08:00:00,마포구,망원1동,133
2026-04-04 08:00:00,마포구,서교동,206
2026-04-04 08:00:00,마포구,성산2동,12
2026-04-04 08:00:00,서대문구,천연동,29
2026-04-04 08:00:00,서대문구,홍제3동,123
2026-04-04 08:00:00,서초구,방배2동,393
2026-04-04 08:00:00,서초구,반포2동,98
2026-04-04 08:00:00,서초구,반포3동,116
2026-04-04 08:00:00,서초구,서초3동,52
2026-04-04 08:00:00,서초구,서초4동,323
2026-04-04 08:00:00,서초구,양재1동,414
2026-04-04 08:00:00,성동구,성수1가1동,29
2026-04-04 08:00:00,성동구,성수1가2동,38
2026-04-04 08:00:00,성동구,성수2가3동,130
2026-04-04 08:00:00,성동구,송정동,207
2026-04-04 08:00:00,송파구,잠실6동,143
2026-04-04 08:00:00,양천구,신정4동,174
2026-04-04 08:00:00,영등포구,문래동,80
2026-04-04 08:00:00,용산구,이촌2동,27
2026-04-04 08:00:00,용산구,이태원2동,17
2026-04-04 08:00:00,은평구,대조동,187
2026-04-04 08:00:00,은평구,녹번동,41
2026-04-04 08:00:00,종로구,동선동,46
2026-04-04 08:00:00,종로구,가회동,106
2026-04-04 08:00:00,종로구,이화동,45
2026-04-04 08:00:00,종로구,종로1·2·3·4가동,110
2026-04-04 08:00:00,종로구,삼청동,10
2026-04-04 08:00:00,중구,창신1동,61
2026-04-04 08:00:00,중구,광희동,503
2026-04-04 08:00:00,중구,회현동,194
2026-04-04 08:00:00,중구,명동,616
2026-04-04 08:00:00,중구,신당동,7
2026-04-04 08:00:00,중구,소공동,115
2026-04-04 09:00:00,강남구,압구정동,88
2026-04-04 09:00:00,강남구,대치4동,731
2026-04-04 09:00:00,강남구,개포2동,2418
2026-04-04 09:00:00,강남구,논현1동,1484
2026-04-04 09:00:00,강남구,신사동,0
2026-04-04 09:00:00,강남구,수서동,34
2026-04-04 09:00:00,강남구,역삼1동,170
2026-04-04 09:00:00,강남구,역삼2동,1535
2026-04-04 09:00:00,강동구,암사1동,4132
2026-04-04 09:00:00,강동구,암사3동,19
2026-04-04 09:00:00,강동구,천호1동,136
2026-04-04 09:00:00,강동구,둔촌1동,188
2026-04-04 09:00:00,강동구,성내1동,90
2026-04-04 09:00:00,강북구,번3동,139
2026-04-04 09:00:00,강북구,미아동,2638
2026-04-04 09:00:00,강북구,수유1동,1072
2026-04-04 09:00:00,강북구,수유3동,212
2026-04-04 09:00:00,강서구,방화1동,8
2026-04-04 09:00:00,강서구,방화3동,53
2026-04-04 09:00:00,강서구,가양1동,181
2026-04-04 09:00:00,강서구,공항동,42
2026-04-04 09:00:00,강서구,화곡1동,3084
2026-04-04 09:00:00,관악구,낙성대동,146
2026-04-04 09:00:00,관악구,신원동,2983
2026-04-04 09:00:00,광진구,구의1동,22
2026-04-04 09:00:00,광진구,광장동,7
2026-04-04 09:00:00,광진구,화양동,689
2026-04-04 09:00:00,광진구,자양1동,1240
2026-04-04 09:00:00,광진구,중곡1동,1405
2026-04-04 09:00:00,구로구,고척2동,2440
2026-04-04 09:00:00,구로구,구로4동,3445
2026-04-04 09:00:00,금천구,독산4동,2114
2026-04-04 09:00:00,금천구,가산동,1213
2026-04-04 09:00:00,금천구,시흥2동,1170
2026-04-04 09:00:00,노원구,공릉1동,1984
2026-04-04 09:00:00,노원구,상계2동,1312
2026-04-04 09:00:00,도봉구,창1동,18
2026-04-04 09:00:00,도봉구,창2동,3485
2026-04-04 09:00:00,도봉구,창3동,1885
2026-04-04 09:00:00,동작구,사당2동,1601
2026-04-04 09:00:00,동작구,상도1동,1220
2026-04-04 09:00:00,동작구,상도4동,1934
2026-04-04 09:00:00,마포구,망원1동,1761
2026-04-04 09:00:00,마포구,서교동,1639
2026-04-04 09:00:00,마포구,성산2동,9
2026-04-04 09:00:00,서대문구,천연동,23
2026-04-04 09:00:00,서대문구,홍제3동,211
2026-04-04 09:00:00,서초구,방배2동,416
2026-04-04 09:00:00,서초구,반포2동,149
2026-04-04 09:00:00,서초구,반포3동,247
2026-04-04 09:00:00,서초구,서초3동,93
2026-04-04 09:00:00,서초구,서초4동,745
2026-04-04 09:00:00,서초구,양재1동,586
2026-04-04 09:00:00,성동구,성수1가1동,31
2026-04-04 09:00:00,성동구,성수1가2동,99
2026-04-04 09:00:00,성동구,성수2가3동,156
2026-04-04 09:00:00,성동구,송정동,235
2026-04-04 09:00:00,송파구,잠실6동,371
2026-04-04 09:00:00,송파구,잠실본동,3039
2026-04-04 09:00:00,양천구,목3동,1655
2026-04-04 09:00:00,양천구,신정4동,269
2026-04-04 09:00:00,양천구,신월1동,4073
2026-04-04 09:00:00,영등포구,문래동,110
2026-04-04 09:00:00,용산구,이촌2동,69
2026-04-04 09:00:00,용산구,이태원2동,24
2026-04-04 09:00:00,은평구,대조동,270
2026-04-04 09:00:00,은평구,녹번동,24
2026-04-04 09:00:00,종로구,동선동,47
2026-04-04 09:00:00,종로구,가회동,181
2026-04-04 09:00:00,종로구,이화동,55
2026-04-04 09:00:00,종로구,종로1·2·3·4가동,176
2026-04-04 09:00:00,종로구,사직동,951
2026-04-04 09:00:00,종로구,삼청동,38
2026-04-04 09:00:00,중구,창신1동,79
2026-04-04 09:00:00,중구,광희동,840
2026-04-04 09:00:00,중구,회현동,333
2026-04-04 09:00:00,중구,명동,1420
2026-04-04 09:00:00,중구,신당동,9
2026-04-04 09:00:00,중구,소공동,239
2026-04-04 09:00:00,중랑구,중화2동,998
2026-04-04 09:00:00,중랑구,묵2동,763
2026-04-04 10:00:00,강남구,압구정동,149
2026-04-04 10:00:00,강남구,대치4동,815
2026-04-04 10:00:00,강남구,개포2동,2806
2026-04-04 10:00:00,강남구,논현1동,1591
2026-04-04 10:00:00,강남구,신사동,0
2026-04-04 10:00:00,강남구,수서동,72
2026-04-04 10:00:00,강남구,역삼1동,259
2026-04-04 10:00:00,강남구,역삼2동,1743
2026-04-04 10:00:00,강동구,암사1동,4231
2026-04-04 10:00:00,강동구,암사3동,23
2026-04-04 10:00:00,강동구,천호1동,186
2026-04-04 10:00:00,강동구,둔촌1동,272
2026-04-04 10:00:00,강동구,성내1동,144
2026-04-04 10:00:00,강북구,번3동,181
2026-04-04 10:00:00,강북구,미아동,2731
2026-04-04 10:00:00,강북구,수유1동,1100
2026-04-04 10:00:00,강북구,수유3동,288
2026-04-04 10:00:00,강서구,방화1동,4
2026-04-04 10:00:00,강서구,방화3동,65
2026-04-04 10:00:00,강서구,가양1동,251
2026-04-04 10:00:00,강서구,공항동,42
2026-04-04 10:00:00,강서구,화곡1동,3231
2026-04-04 10:00:00,관악구,낙성대동,140
2026-04-04 10:00:00,관악구,신원동,2925
2026-04-04 10:00:00,광진구,구의1동,12
2026-04-04 10:00:00,광진구,광장동,22
2026-04-04 10:00:00,광진구,화양동,800
2026-04-04 10:00:00,광진구,자양1동,1463
2026-04-04 10:00:00,광진구,중곡1동,1404
2026-04-04 10:00:00,구로구,고척2동,2868
2026-04-04 10:00:00,구로구,구로4동,3599
2026-04-04 10:00:00,금천구,독산4동,2646
2026-04-04 10:00:00,금천구,가산동,1433
2026-04-04 10:00:00,금천구,시흥2동,1253
2026-04-04 10:00:00,노원구,공릉1동,2210
2026-04-04 10:00:00,노원구,상계2동,1417
2026-04-04 10:00:00,도봉구,창1동,12
2026-04-04 10:00:00,도봉구,창2동,3484
2026-04-04 10:00:00,도봉구,창3동,1891
2026-04-04 10:00:00,동작구,사당2동,1493
2026-04-04 10:00:00,동작구,상도1동,1432
2026-04-04 10:00:00,동작구,상도4동,2159
2026-04-04 10:00:00,마포구,망원1동,2287
2026-04-04 10:00:00,마포구,서교동,1932
2026-04-04 10:00:00,마포구,성산2동,24
2026-04-04 10:00:00,서대문구,천연동,6
2026-04-04 10:00:00,서대문구,홍제3동,275
2026-04-04 10:00:00,서초구,방배2동,473
2026-04-04 10:00:00,서초구,반포2동,208
2026-04-04 10:00:00,서초구,반포3동,374
2026-04-04 10:00:00,서초구,서초3동,89
2026-04-04 10:00:00,서초구,서초4동,679
2026-04-04 10:00:00,서초구,양재1동,827
2026-04-04 10:00:00,성동구,성수1가1동,88
2026-04-04 10:00:00,성동구,성수1가2동,166
2026-04-04 10:00:00,성동구,성수2가3동,265
2026-04-04 10:00:00,성동구,송정동,416
