"자치구","폭염위험도점수","위험등급","쉼터수","문화행사수","평균기온","최고기온","평균체감온도","최고체감온도","수급권자수","방문자수","폭염특보_서울발표건수","수급권자_천명당_쉼터수","1만명당_쉼터수","쉼터_상태","쉼터_부족_순위"
"강북구","60.65","높음","96","94","27.03","37.6","31.3","37.1","9906","1588445","7","9.69","3.36","쉼터 부족","7순위"
"강서구","60.1","높음","189","38","27.03","37.6","31.3","37.1","11680","1486544","7","16.18","3.4","쉼터 부족","8순위"
"노원구","57.69","보통","312","138","27.03","37.6","31.3","37.1","12169","1500160","7","25.64","6.38","쉼터 충분",""
"도봉구","57.51","보통","167","51","27.03","37.6","31.3","37.1","9014","2358390","7","18.53","5.51","쉼터 충분",""
"중랑구","56.55","보통","159","55","27.03","37.6","31.3","37.1","10865","820226","7","14.63","4.14","쉼터 부족","12순위"
"양천구","56.09","보통","197","59","27.03","37.6","31.3","37.1","8562","2717348","7","23.01","4.6","쉼터 충분",""
"마포구","54.9","보통","85","227","27.03","37.6","31.3","37.1","4947","3071852","7","17.18","2.3","쉼터 부족","2순위"
"은평구","51.31","보통","202","195","27.03","37.6","31.3","37.1","10067","223979","7","20.07","4.4","쉼터 부족","14순위"
"강남구","51.25","보통","89","116","27.03","37.6","31.3","37.1","4208","3274011","7","21.15","1.58","쉼터 부족","1순위"
"광진구","50.81","보통","115","147","27.03","37.6","31.3","37.1","6138","1918843","7","18.74","3.29","쉼터 부족","6순위"
"중구","50.62","보통","70","395","27.03","37.6","31.3","37.1","2138","4708419","7","32.74","5.45","쉼터 충분",""
"관악구","50.42","보통","141","68","27.03","37.6","31.3","37.1","7746","1206656","7","18.2","2.83","쉼터 부족","3순위"
"금천구","49.91","보통","95","66","27.03","37.6","31.3","37.1","5733","1855122","7","16.57","4","쉼터 부족","10순위"
"강동구","48.56","보통","232","43","27.03","37.6","31.3","37.1","7761","2126806","7","29.89","4.6","쉼터 충분",""
"송파구","46.67","보통","208","177","27.03","37.6","31.3","37.1","7305","1410286","7","28.47","3.2","쉼터 부족","5순위"
"구로구","45.4","보통","265","151","27.03","37.6","31.3","37.1","6749","2639867","7","39.27","6.49","쉼터 충분",""
"동대문구","42.88","낮음","111","63","27.03","37.6","31.3","37.1","6374","0","7","17.41","3.03","쉼터 부족","4순위"
"동작구","42.05","낮음","168","45","27.03","37.6","31.3","37.1","4841","2497341","7","34.7","4.37","쉼터 부족","13순위"
"서대문구","36.99","낮음","140","83","27.03","37.6","31.3","37.1","5199","177831","7","26.93","4.42","쉼터 부족","15순위"
"성북구","35.95","낮음","277","58","27.03","37.6","31.3","37.1","7529","0","7","36.79","6.33","쉼터 충분",""
"종로구","34.51","낮음","116","1000","27.03","37.6","31.3","37.1","2331","1242426","7","49.76","7.8","쉼터 충분",""
"서초구","33.89","낮음","149","268","27.03","37.6","31.3","37.1","3247","2024359","7","45.89","3.55","쉼터 부족","9순위"
"성동구","26.75","낮음","217","146","27.03","37.6","31.3","37.1","4180","876994","7","51.91","7.68","쉼터 충분",""
"용산구","26.61","낮음","87","125","27.03","37.6","31.3","37.1","2346","102899","7","37.08","4.05","쉼터 부족","11순위"
"영등포구","22.94","낮음","200","90","27.03","37.6","31.3","37.1","3921","137199","7","51.01","5.06","쉼터 충분",""
