자치구,폭염위험도점수,위험등급,쉼터수,문화행사수,평균기온,최고기온,평균체감온도,최고체감온도,수급권자수,방문자수,폭염특보_서울발표건수,수급권자_천명당_쉼터수,1만명당_쉼터수,쉼터_상태,쉼터_부족_순위,수급권자_천명당_쉼터수_정규화,쉼터_부족도,기온_위험도,체감온도_위험도,기온_위험도_정규화,체감온도_위험도_정규화,폭염특보_위험도,인구수,수급권자수_정규화,취약지역_분석지표,취약지역_순위
강북구,60.65,높음,96,94,27.03,37.6,31.3,37.1,9906,1588445,7,9.691096305269532,3.3578174186778593,쉼터 부족,7순위,0.0,1.0,0.0,1.3000000000000007,0,0,75,285900,0.7743993619778686,0.6323198085933606,1
강서구,60.1,높음,189,38,27.03,37.6,31.3,37.1,11680,1486544,7,16.18150684931507,3.3970199687258478,쉼터 부족,8순위,0.1537182216034215,0.8462817783965785,0.0,1.3000000000000007,0,0,75,556370,0.9512511215232778,0.6238880478156148,2
노원구,57.69,보통,312,138,27.03,37.6,31.3,37.1,12169,1500160,7,25.638918563563152,6.380328955037085,쉼터 양호,,0.3777065964249975,0.6222934035750025,0.0,1.3000000000000007,0,0,75,489003,1.0,0.548917361430001,4
도봉구,57.51,보통,167,51,27.03,37.6,31.3,37.1,9014,2358390,7,18.526736188151766,5.5106236244064535,쉼터 양호,,0.20926239415948275,0.7907376058405172,0.0,1.3000000000000007,0,0,75,303051,0.6854750274150134,0.5219375505607109,6
중랑구,56.55,보통,159,55,27.03,37.6,31.3,37.1,10865,820226,7,14.634146341463415,4.143171324042902,쉼터 부족,12순위,0.11707069309468335,0.8829293069053167,0.0,1.3000000000000007,0,0,75,383764,0.8700029907287409,0.6141726199807489,3
양천구,56.09,보통,197,59,27.03,37.6,31.3,37.1,8562,2717348,7,23.00864284045784,4.597035961888938,쉼터 양호,,0.31541141436546866,0.6845885856345313,0.0,1.3000000000000007,0,0,75,428537,0.6404147143854052,0.46595984856943407,8
마포구,54.9,보통,85,227,27.03,37.6,31.3,37.1,4947,3071852,7,17.18213058419244,2.3012529645552897,쉼터 부족,2순위,0.1774168921229059,0.8225831078770941,0.0,1.3000000000000007,0,0,75,369364,0.2800319011065696,0.4130428134828085,12
은평구,51.31,보통,202,195,27.03,37.6,31.3,37.1,10067,223979,7,20.065560743021752,4.395260081899797,쉼터 부족,14순위,0.24570775802807557,0.7542922419719245,0.0,1.3000000000000007,0,0,75,459586,0.7904496062207158,0.5388517786549845,5
강남구,51.25,보통,89,116,27.03,37.6,31.3,37.1,4208,3274011,7,21.15019011406844,1.582199719826207,쉼터 부족,1순위,0.2713960094699037,0.7286039905300963,0.0,1.3000000000000007,0,0,75,562508,0.2063602831223208,0.3533496811487348,15
광진구,50.81,보통,115,147,27.03,37.6,31.3,37.1,6138,1918843,7,18.735744542196155,3.294024639304302,쉼터 부족,6순위,0.2142125267074827,0.7857874732925173,0.0,1.3000000000000007,0,0,75,349117,0.39876383212042665,0.43394413895313494,11
