발표시간,지역,발효시각,해당지역,특보종류,상태
2025-06-15 09:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 06월 15일 09시 00분,(1) 폭염주의보 발표 : 경기도(포천. 가평. 파주. 안성. 여주. 양평),폭염주의보,발표
2025-06-15 17:30:00,서울·인천·경기도,(1) 폭염주의보 해제 : 2025년 06월 15일 17시 30분,(1) 폭염주의보 해제 : 경기도(포천. 가평. 파주. 안성. 여주. 양평),폭염주의보,해제
2025-06-29 10:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 06월 29일 10시 00분,(1) 폭염주의보 발표 : 경기도(용인. 이천. 안성. 여주. 양평),폭염주의보,발표
2025-06-30 10:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 06월 30일 10시 00분 / (2) 폭염경보 변경 : 2025년 06월 30일 10시 00분,(1) 폭염주의보 발표 : 경기도(가평. 남양주. 오산. 평택. 하남. 광주) / (2) 폭염경보 변경 : 경기도(이천. 안성. 여주. 양평),폭염경보,발표
2025-06-30 12:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 06월 30일 12시 00분 / (2) 폭염경보 변경 : 2025년 06월 30일 12시 00분,(1) 폭염주의보 발표 : 경기도(과천. 성남. 구리. 화성). 서울 / (2) 폭염경보 변경 : 경기도(가평. 광주),폭염경보,발표
2025-07-01 12:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 07월 01일 12시 00분,(1) 폭염주의보 발표 : 경기도(광명. 안산. 고양. 양주. 의정부. 파주. 의왕),폭염주의보,발표
2025-07-02 10:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 07월 02일 10시 00분 / (2) 폭염경보 변경 : 2025년 07월 02일 10시 00분,(1) 폭염주의보 발표 : 경기도(시흥. 부천. 동두천. 연천. 포천. 수원. 안양. 군포). 인천(강화군.옹진군 제외) / (2) 폭염경보 변경 : 경기도(하남. 용인),폭염경보,발표
2025-07-07 10:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 07월 07일 10시 00분 / (2) 폭염경보 변경 : 2025년 07월 07일 10시 00분,(1) 폭염주의보 발표 : 경기도(김포). 인천(강화) / (2) 폭염경보 변경 : 경기도(광명. 과천. 안산. 시흥. 동두천. 연천. 포천. 고양. 양주. 의정부. 파주. 수원. 성남. 안양. 구리. 남양주. 오산. 평택. 군포. 의왕. 화성). 서울,폭염경보,발표
2025-07-08 10:00:00,서울·인천·경기도,(1) 폭염경보 변경 : 2025년 07월 08일 10시 00분,(1) 폭염경보 변경 : 경기도(부천. 김포). 인천(옹진군 제외),폭염경보,변경
2025-07-09 10:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 07월 09일 10시 00분,(1) 폭염주의보 발표 : 서해5도. 인천(옹진),폭염주의보,발표
2025-07-10 16:30:00,서울·인천·경기도,(1) 폭염주의보 해제 : 2025년 07월 10일 16시 30분 / (2) 폭염주의보 변경 : 2025년 07월 10일 16시 30분,(1) 폭염주의보 해제 : 서해5도 / (2) 폭염주의보 변경 : 경기도(포천). 인천(강화),폭염주의보,해제
2025-07-13 10:00:00,서울·인천·경기도,(1) 폭염주의보 해제 : 2025년 07월 13일 10시 00분 / (2) 폭염주의보 변경 : 2025년 07월 13일 10시 00분,(1) 폭염주의보 해제 : 경기도(안산. 수원. 오산. 평택. 화성). 인천(옹진) / (2) 폭염주의보 변경 : 경기도(안산. 포천. 수원. 오산. 평택. 화성 제외). 서울. 인천(강화군.옹진군 제외),폭염주의보,해제
2025-07-13 14:00:00,서울·인천·경기도,(1) 폭염주의보 해제 : 2025년 07월 13일 14시 00분,(1) 폭염주의보 해제 : 경기도(안산. 수원. 오산. 평택. 화성 제외). 서울. 인천(옹진군 제외),폭염주의보,해제
2025-07-20 16:20:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 07월 20일 16시 20분,(1) 폭염주의보 발표 : 경기도(평택. 이천. 안성. 여주),폭염주의보,발표
2025-07-21 10:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 07월 21일 10시 00분,(1) 폭염주의보 발표 : 경기도(과천. 수원. 성남. 안양. 용인. 양평). 서울(서울서남권),폭염주의보,발표
2025-07-21 16:20:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 07월 21일 16시 20분 / (2) 폭염경보 변경 : 2025년 07월 21일 16시 20분,(1) 폭염주의보 발표 : 경기도(광명. 안산. 시흥. 연천. 가평. 고양. 양주. 의정부. 파주. 구리. 남양주. 오산. 군포. 하남. 화성. 광주). 서울(서울서남권 제외). 인천(강화군.옹진군 제외) / (2) 폭염경보 변경 : 경기도(안성),폭염경보,발표
2025-07-22 10:00:00,서울·인천·경기도,(1) 폭염주의보 발표 : 2025년 07월 22일 10시 00분 / (2) 폭염경보 변경 : 2025년 07월 22일 10시 00분,(1) 폭염주의보 발표 : 경기도(부천. 김포. 동두천. 포천. 의왕). 인천(강화) / (2) 폭염경보 변경 : 경기도(여주),폭염경보,발표
